Color,Discount Price,Original Price,URL,Dimensions,CPU,GPU_Model,Screen,Storage,Ram_Model,Battery,RAM,Weight,Storage_Model,GPU
,,,https://meghdadit.com/product/9460/asus-v502ux-core-i5-6gb-1tb16gb-ssd-4gb-full-hd/,22.8 * 254 * 381 mm,INTEL i5-6200U 2.3 Ghz,Nvidia Gforce GTX 950M,TFT LED-Backlit LCD 1080 * 1920,16 GB SSD + 1 TB HDD,DDR3,4800 mAh,6 GB,1.99 kg,SSDSATA,4 GB
,,,https://meghdadit.com/product/9037/asus-n550jx-core-i7-12gb-1tb-8gb-ssd-4gb/,28 * 255 * 380 mm,INTEL i7-4720HQ 2.6 Ghz,Nvidia Gforce GTX 950M,IPS LCD 1080 * 1920,8 GB SSD + 1 TB HDD,DDR3,,12 GB,2.6 kg,SSDSATA,4 GB
,,,https://meghdadit.com/product/1105/asus-x555ld-core-i5-8gb-1tb-2gb/,25.8 × 256 × 382 mm,INTEL i5-4210U 1.7 Ghz,Nvidia Gforce GT 820M,TFT LED-Backlit LCD 768 * 1366,1 TB HDD,DDR3,,8 GB,2.4 kg,SATA,2 GB 
,,,https://meghdadit.com/product/1119/asus-k555ld-core-i5-4gb-1tb-2gb/,25.8 × 256 × 382 mm,,Nvidia Gforce GT 820M,TFT LED-Backlit LCD 768 * 1366,1 TB HDD,DDR3L,,4 GB,2.3 kg,SATA,2 GB 
,,,https://meghdadit.com/product/1138/asus-vivobook-s551l-core-i7-8gb-1tb24gb-ssd-4gb-touch/,258 × 258 × 380 mm,,Nvidia Gforce GT 840M,HD LED Backlight Glare Panel Display 768 * 1366,24 GB SSD + 1 TB HDD,DDR3L,,8 GB,2.4 kg,SSDSATA,4 GB
,,,https://meghdadit.com/product/124101/lenovo-ideapad-5-core-i3-1115g4-8gb-512gb-ssd-intel-fhd-ips-touch-laptop/,356.6×233.1×19.9 mm,INTEL I3-1115G4 3.0 Ghz,Intel UHD,IPS 1080 * 1920,512 GB HDD,DDR4,,8 GB,1.66 کلیوگرم,SSD,
,,,https://meghdadit.com/product/124135/lenovo-ideapad-5-core-i3-1115g4-8gb-256gb-ssd-intel-fhd-ips-touch-laptop/,356.6×233.1×19.9 mm,INTEL I3-1115G4 3.0 Ghz,Intel UHD,IPS 1080 * 1920,256 GB HDD,DDR4,,8 GB,1.66 کلیوگرم,SSD,
,,,https://meghdadit.com/product/124136/lenovo-ideapad-5-core-i3-1115g4-8gb-1tb-ssd-intel-fhd-ips-touch-laptop/,356.6×233.1×19.9 mm,INTEL I3-1115G4 3.0 Ghz,Intel UHD,IPS 1080 * 1920,1 TB HDD,DDR4,,8 GB,1.66 کلیوگرم,SSD,
,,,https://meghdadit.com/product/124352/lenovo-ideapad-gaming-3-ryzen-7-5800h-16gb-1tb-256gb-ssd-4gb-1650-full-hd-laptop/,359×249.6×24.9 میلی متر,AMD Ryzen 7 5800H 3.2 Ghz,Nvidia Gforce NVIDIA Geforce GTX 1650,IPS 1080 * 1920,256 GB SSD + 1 TB HDD,DDR4,45WHr,16 GB,2.2 kg,SSDHDD,4 GB
,,,https://meghdadit.com/product/124353/lenovo-ideapad-gaming-3-ryzen-7-5800h-16gb-1tb-512gb-ssd-4gb-1650-full-hd-laptop/,359×249.6×24.9 میلی متر,AMD Ryzen 7 5800H 3.2 Ghz,Nvidia Gforce NVIDIA Geforce GTX 1650,IPS 1080 * 1920,512 GB SSD + 1 TB HDD,DDR4,45WHr,16 GB,2.2 kg,SSDHDD,4 GB
,,,https://meghdadit.com/product/124358/lenovo-ideapad-3-3020e-8gb-1tb-512gb-ssd-amd-vega-3-hd-laptop/,19.9 × 251.5 × 362.2 میلی‌ متر,AMD 3020e 1.2 Ghz,AMD Radeon RX Vega 3,TN 768 * 1366,512 GB SSD + 1 TB HDD,DDR4,35 Wh,8 GB,1.85 کلیوگرم,SSDHDD,
,,,https://meghdadit.com/product/124359/lenovo-ideapad-3-3020e-8gb-1tb-amd-vega-3-hd-laptop/,19.9 × 251.5 × 362.2 میلی‌ متر,AMD 3020e 1.2 Ghz,AMD Radeon RX Vega 3,TN 768 * 1366,1 TB HDD,DDR4,35 Wh,8 GB,1.85 کلیوگرم,HDD,
,,,https://meghdadit.com/product/124063/lenovo-ideapad-gaming-3-core-i7-11370h-16gb-1tb-512gb-ssd-4gb-1650-fhd-laptop/,359×249.6×24.9 میلی متر,,Nvidia Gforce GTX 1650,,512 GB SSD + 1 TB HDD,DDR4,,16 GB,2.2 kg,SSDHDD,4 GB
,,,https://meghdadit.com/product/123290/lenovo-ideapad-gaming-3-core-i5-11300h-8gb-1tb-256gb-ssd-4gb-1650-full-hd-laptop/,359.6×251.9×24.2 میلی متر,INTEL i5-11300H 2.6 Ghz,Nvidia Gforce NVIDIA Geforce GTX 1650,IPS 1080 * 1920,256 GB SSD + 1 TB HDD,DDR4,45WHr,8 GB,2.2 kg,SSDHDD,4 GB
,,,https://meghdadit.com/product/121672/lenovo-thinkbook-15-core-i5-1135g7-12gb-1tb-256gb-ssd-2gb-mx450-full-hd-laptop/,364x245x18.9 mm,INTEL i5-1135G7 2.4 Ghz,Nvidia Gforce NVIDIA Geforce MX450,TN Full HD 1080 * 1920,256 GB SSD + 1 TB HDD,DDR4,,12 GB,1.7 kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/121673/lenovo-thinkbook-15-core-i5-1135g7-12gb-1tb-128gb-ssd-2gb-mx450-full-hd-laptop/,364x245x18.9 mm,INTEL i5-1135G7 2.4 Ghz,Nvidia Gforce NVIDIA Geforce MX450,TN Full HD 1080 * 1920,128 GB SSD + 1 TB HDD,DDR4,,12 GB,1.7 kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/121674/lenovo-thinkbook-15-core-i5-1135g7-12gb-1tb-2gb-mx450-full-hd-laptop/,364x245x18.9 mm,INTEL i5-1135G7 2.4 Ghz,Nvidia Gforce NVIDIA Geforce MX450,TN Full HD 1080 * 1920,1 TB HDD,DDR4,,12 GB,1.7 kg,HDD,2 GB 
,,,https://meghdadit.com/product/121675/lenovo-thinkbook-15-core-i5-1135g7-16gb-1tb-2gb-mx450-full-hd-laptop/,364x245x18.9 mm,INTEL i5-1135G7 2.4 Ghz,Nvidia Gforce NVIDIA Geforce MX450,TN Full HD 1080 * 1920,1 TB HDD,DDR4,,16 GB,1.7 kg,HDD,2 GB 
,,,https://meghdadit.com/product/121676/lenovo-thinkbook-15-core-i5-1135g7-16gb-1tb-128gb-ssd-2gb-mx450-full-hd-laptop/,364x245x18.9 mm,INTEL i5-1135G7 2.4 Ghz,Nvidia Gforce NVIDIA Geforce MX450,TN Full HD 1080 * 1920,128 GB SSD + 1 TB HDD,DDR4,,16 GB,1.7 kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/70423/lenovo-thinkpad-e580-core-i3-4gb-500gb-intel-laptop/,19.9 * 252 * 369 mm,INTEL i3-8130U 2.2 Ghz,Intel UHD Graphics 620,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR4,,4 GB,2.1 kg,HDD,
,,,https://meghdadit.com/product/72048/lenovo-thinkpad-e590-core-i3-4gb-1tb-intel-laptop/,368.3 * 251.46 * 20.32 mm,INTEL i3-8130U 2.2 Ghz,Intel UHD Graphics 620,TFT LED-backlit IPS LCD 768 * 1366,1 TB HDD,DDR4,45 Wh,4 GB,2.13 kg,HDD,
,,,https://meghdadit.com/product/72049/lenovo-thinkpad-e490-core-i7-8gb-1tb-2gb-laptop/,19.9 * 329 * 242 mm,INTEL i7-8565U 1.8 Ghz,AMD RX550,TFT LED-backlit IPS LCD 1080 * 1920,1 TB HDD,DDR4,45 Wh,8 GB,1.8 kg,HDD,2 GB 
,,,https://meghdadit.com/product/86582/lenovo-ideapad-l340-core-i5-8gb-512gb-ssd-4gb-full-hd-laptop/,363x 254.6x 22.9 mm,INTEL i5-9300H 2.4 Ghz,Nvidia Gforce GeForce GTX 1650,TFT LED-backlit LCD 1080 * 1920,512 GB HDD,DDR4,,8 GB,2.2 کلیوگرم,SSD,4 GB
,,,https://meghdadit.com/product/75818/lenovo-thinkpad-e480-core-i7-8gb-256gb-ssd-2gb-laptop/,329 * 242 * 19.9 mm,INTEL i7-8550U 1.8 Ghz,AMD RX550,TFT LED-backlit LCD 768 * 1366,256 GB HDD,DDR4,48 Wh,8 GB,1.75 kg,SSD,2 GB 
,,,https://meghdadit.com/product/75820/lenovo-thinkpad-e590-core-i5-4gb-1tb-intel-laptop/,368.3 * 251.46 * 20.32 mm,INTEL i5-8265U 1.6 Ghz,Intel UHD Graphics 620,TFT LED-backlit IPS LCD 768 * 1366,1 TB HDD,DDR4,45 Wh,4 GB,2.13 kg,HDD,
,,,https://meghdadit.com/product/74681/lenovo-ideapad-330s-core-i5-4gb-1tb-2gb-full-hd-laptop/,19.4 × 244 × 358 mm,INTEL i5-8250U 1.6 Ghz,AMD Radeon 535,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,,4 GB,1.9 کلیوگرم,HDD,2 GB 
,,,https://meghdadit.com/product/74796/lenovo-y530-core-i7-16gb-1tb-with-256gb-ssd-4gb-full-hd-laptop/,365 * 260 * 24.2 mm,INTEL i7-8750H 2.2 Ghz,Nvidia Gforce GTX 1050 TI DDR5,IPS LCD 1080 * 1920,256 GB SSD + 1 TB HDD,DDR4,53 Wh,16 GB,2.3 kg,SSDHDD,4 GB
,,,https://meghdadit.com/product/69221/lenovo-yoga-300-n3060-2gb-128gb-ssd-intel-touch-laptop/,11 × 209 × 298 mm,INTEL Celeron-N3060 1.6 Ghz,Intel 400 HD Graphics,TFT LED-backlit LCD 768 * 1366,128 GB HDD,DDR3,,2 GB,1.39 kg,SSD,
,,,https://meghdadit.com/product/69219/lenovo-ideapad-330-core-i5-12gb-1tb-2gb-full-hd-laptop/,22.9 * 260 * 378 mm,INTEL i5-8250U 1.6 Ghz,Nvidia Gforce MX150,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,30 وات‌ساعت,12 GB,2.2 کلیوگرم,HDD,2 GB 
,,,https://meghdadit.com/product/10611/hp-pavilion-15-p205ne-i7-8gb-2tb-4gb/,384.5 * 260.2 * 23.9 mm,INTEL i7-5500U 2.4 Ghz,Nvidia Gforce GT 840M,TFT LED-backlit LCD 768 * 1366,2 TB HDD,DDR3,41 Wh,8 GB,2.27 kg,SATA,4 GB
,,,https://meghdadit.com/product/10613/hp-pavilion-15-p235ne-i7-8gb-1tb-4gb/,384.5 * 260.2 * 23.9 mm,INTEL i7-5500U 2.4 Ghz,Nvidia Gforce GT 840M,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR3,41 Wh,8 GB,2.27 kg,SATA,4 GB
,,,https://meghdadit.com/product/10570/hp-pavilion-15-ab237ne-core-i7-8gb-1tb-4gb-full-hd/,384.5 * 261 * 25.2 mm,INTEL i7-5500U 2.4 Ghz,Nvidia Gforce GT 940M,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR3,41 Wh,8 GB,2.29 kg,SATA,4 GB
,,,https://meghdadit.com/product/10572/hp-pavilion-15-ab239ne-core-i7-8gb-1tb-4gb-full-hd/,384.5 * 261 * 25.2 mm,INTEL i7-5500U 2.4 Ghz,Nvidia Gforce GT 940M,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR3,41 Wh,8 GB,2.29 kg,SATA,4 GB
,,,https://meghdadit.com/product/49945/hp-250-g5-n3060-4gb-500gb-intel-laptop/,24.3 * 254 * 384 mm,INTEL Celeron-N3060 1.6 Ghz,Intel HD Graphics 400,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR3,41 Wh,4 GB,1.96 kg,SATA,
,,,https://meghdadit.com/product/48952/hp-15-ac125ne-core-i5-4gb-500gb-2gb-laptop/,24.3 * 254 * 384 mm,INTEL i5-6200U 2.3 Ghz,AMD Radeon R5 M330,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR3,41 Wh,4 GB,2.19 kg,SATA,2 GB 
,,,https://meghdadit.com/product/49585/hp-15-ay037ne-n3710-4gb-1tb-2gb-laptop/,24.3 * 254 * 384 mm,INTEL Pentium-N3710 1.6 Ghz,AMD Radeon R5 M430,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR3,41 Wh,4 GB,2.04 kg,SATA,2 GB 
,,,https://meghdadit.com/product/48032/hp-pavilion-15-ab153-a10-8700p-8gb-1tb-2gb-laptop/,384.5 * 261 * 25.2 mm,AMD A10-8700P 1.8 Ghz,AMD Radeon R6,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR3,41 Wh,8 GB,2.2 kg,SATA,2 GB 
,,,https://meghdadit.com/product/48111/hp-15-ay114ne-core-i5-8gb-1tb-4gb-full-hd-laptop/,24.3 * 254 * 384 mm,INTEL i5-7200U 2.5 Ghz,AMD Radeon R7 M440,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,41 Wh,8 GB,2.04 kg,SATA,4 GB
