url,Title,Manufacturer,Model_Name,Screen_Size,Resolution,CPU,RAM,RAM_type,Storage,Storage_type,GPU,GPU_RAM,Size,Weight,Score,Battery_life,Price
https://www.zoomit.ir/product/hp-omen-16-b0003-core-i7-11800h-rtx-3060-16gb-1tb/,لپ تاپ OMEN 16-b0003 اچ پی - Core i7-11800H RTX 3060 16GB 1TB, OMEN 16-b0003,HP,16.1 اینچ,1080×1920 - FHD,اینتل Core i7-11800H,16 گیگابایت,DDR4-3200,1 ترابایت,SSD,انویدیا GeForce RTX 3060,6 گیگابایت از نوع GDDR6 و 128 بیت,23.1 × 248 × 369 میلی‌متر,2.3 کیلوگرم,6,باتری 4 سلولی با ظرفیت 70 وات‌ساعت," 51,799,000 "
https://www.zoomit.ir/product/asus-vivobook-r565ep-core-i3-1115g4-mx330-4gb-512gb/,لپ تاپ VivoBook R565EP ایسوس - Core i3-1115G4 MX330 4GB 512GB, VivoBook R565EP,ASUS,15.6 اینچ,1080×1920 - FHD,اینتل Core i3-1115G4,4 گیگابایت,DDR4,512 گیگابایت,SSD,انویدیا GeForce MX330,2 گیگابایت از نوع GDDR5 و 64 بیت,19.9 × 234.9 × 360.2 میلی‌متر,1.8 کیلوگرم,8,باتری 2 سلولی با ظرفیت 37 وات‌ساعت," 19,250,000 "
https://www.zoomit.ir/product/asus-zenbook-13-ux325ea-core-i5-1135g7-iris-xe-8gb-512gb/,لپ تاپ ZenBook 13 UX325EA ایسوس - Core i5-1135G7 Iris XE 8GB 512GB, ZenBook 13 UX325EA,ASUS,13.3 اینچ,1080×1920 - FHD,اینتل Core i5-1135G7,8 گیگابایت,LPDDR4X-3200,512 گیگابایت,SSD,,,13.9 × 203 × 304.2 میلی‌متر,1.14 کیلوگرم,7,باتری 4 سلولی با ظرفیت 67 وات‌ساعت," 41,500,000 "
https://www.zoomit.ir/product/acer-aspire-1-a114-33-celeron-n4500-uhd-4gb-128gb/,لپ تاپ اسپایر 1 A114-33 ایسر - Celeron N4500 UHD 4GB 128GB,,,14 اینچ,HD - 1366×768,اینتل Celeron N4500,4 گیگابایت,DDR4,128 گیگابایت,SSD,,,19.90 × 236 × 328 میلی‌متر,1.90 کیلوگرم,6,باتری 2 سلولی با ظرفیت 4870 میلی‌آمپر ساعت,
https://www.zoomit.ir/product/asus-vivobook-15-k513eq-core-i7-1165g7-mx330-8gb-512gb/,لپ تاپ VivoBook 15 K513EQ ایسوس - Core i7-1165G7 MX330 8GB 512GB, VivoBook 15 K513EQ,ASUS,15.6 اینچ,1080×1920 - FHD,اینتل Core i7-1165G7,8 گیگابایت,DDR4,512 گیگابایت,SSD,انویدیا GeForce MX330,2 گیگابایت,17.9 × 359 × 235 میلی‌متر,1.8 کیلوگرم,8,باتری 3 سلولی لیتیوم یونی با ظرفیت 42 وات‌ساعت," 33,330,000 "
https://www.zoomit.ir/product/microsoft-surface-laptop-3-core-i5-8gb-128gb/,لپ تاپ سرفیس لپ تاپ 3 نسخه 13 اینچ مایکروسافت - Core i5-1035G7 8GB 128GB,,,13.5 اینچ,1504×2256,اینتل Core i5-1035G7,8 گیگابایت,,128 گیگابایت,SSD,,فاقد حافظه گرافیکی اختصاصی,14.5 × 223 × 308 میلی‌متر,15.4 کیلوگرم,7,," 38,700,000 "
https://www.zoomit.ir/product/microsoft-surface-pro-9-13-inch-core-i7-1255u-iris-xe-16gb-1tb/,لپ تاپ سرفیس پرو 9 مایکروسافت - Core i7-1255U Iris Xe 16GB 1TB,,,13 اینچ,1920×2880,اینتل Core i7-1255U,16 گیگابایت,LPDDR5x,1 ترابایت,SSD,,,9.3 × 209 × 287 میلی‌متر,0.87 کیلوگرم,7,ظرفیت 46.7 وات‌ساعت," 86,899,000 "
https://www.zoomit.ir/product/asus-rog-strix-g15-g513rc-ryzen-7-6800h-rtx-3050-16gb-512gb/,لپ تاپ ROG Strix G15 G513RC ایسوس - Ryzen 7 6800H RTX 3050 16GB 512GB, ROG Strix G15 G513RC,ASUS,15.6 اینچ,1080×1920 - FHD,AMD Ryzen 7 6800H,16 گیگابایت,DDR4,512 گیگابایت,SSD,انویدیا GeForce RTX 3050,4 گیگابایت از نوع GDDR6,22.6 × 259 × 354 میلی‌متر,2.1 کیلوگرم,6,باتری 4 سلولی با ظرفیت 56 وات‌ساعت," 50,245,000 "
https://www.zoomit.ir/product/microsoft-surface-pro-9-13-inch-core-i5-1245u-iris-xe-16gb-256gb/,لپ تاپ سرفیس پرو 9 مایکروسافت - Core i5-1245U Iris Xe 16GB 256GB,,,13 اینچ,1920×2880,اینتل Core i5-1245U,16 گیگابایت,LPDDR5,256 گیگابایت,SSD,,,9.3 × 208 × 287 میلی‌متر,0.88 کیلوگرم,8,باتری با ظرفیت 47.7 وات‌ساعت," 57,000,000 "
https://www.zoomit.ir/product/hp-omen-16-c0002dx-ryzen-7-5800h-rx-6600m-16gb-1tb/,لپ تاپ OMEN 16-C0002dx اچ پی - Ryzen 7-5800H RX 6600M 16GB 1TB, OMEN 16-C0002dx,HP,16.1 اینچ,1080×1920 - FHD,AMD Ryzen 7 5800H,16 گیگابایت,DDR4,1 ترابایت,SSD,AMD Radeon RX 6600M,8 گیگابایت,23 × 248 × 369 میلی‌متر,2.3 کیلوگرم,6,باتری 4 سلولی با ظرفیت 70 وات‌ساعت," 45,300,000 "
https://www.zoomit.ir/product/lenovo-legion-5i-core-i7-12700h-rtx-3070-32gb-1tb-qhd/,لپ تاپ Legion 5 لنوو - Core i7-12700H RTX 3070 32GB 1TB QHD,,,15.6 اینچ,QHD - 2560×1440,اینتل Core i7-12700H,32 گیگابایت,DDR5,1 ترابایت,SSD,انویدیا GeForce RTX 3070,8 گیگابایت,19.9 × 262.3 × 358.8 میلی‌متر,2.4 کیلوگرم,8,باتری 4 سلولی با ظرفیت 80 وات‌ساعت," 77,900,000 "
https://www.zoomit.ir/product/hp-victus-16-d0019-core-i7-11800h-rtx-3050ti-32gb-1tb/,لپ تاپ Victus 16-D0019 اچ پی - Core i7-11800H RTX 3050Ti 32GB 1TB, Victus 16-D0019,HP,16.1 اینچ,1080×1920 - FHD,اینتل Core i7-11800H,32 گیگابایت,DDR4,1 ترابایت,SSD,انویدیا GeForce RTX 3050 Ti,4 گیگابایت از نوع GDDR6,23 × 259 × 370 میلی‌متر,2.4 کیلوگرم,7,باتری 4 سلولی با ظرفیت 66 وات‌ساعت," 51,000,000 "
https://www.zoomit.ir/product/msi-modern-15-b13m-core-i5-1335u-iris-xe-8gb-512gb/,لپ تاپ Modern 15 B13M ام اس آی - Core i5-1335U Iris Xe 8GB 512GB, Modern 15 B13M,MSI,15.6 اینچ,1080×1920 - FHD,اینتل Core i5-1335U,8 گیگابایت,DDR4,512 گیگابایت,SSD,,,19.9 × 241 × 359 میلی‌متر,1.7 کیلوگرم,7,باتری 3 سلولی با ظرفیت 53.8 وات‌ساعت," 33,899,000 "
https://www.zoomit.ir/product/asus-vivobook-15-k513eq-core-i7-1165g7-mx350-24gb-1tb/,لپ تاپ VivoBook 15 K513EQ ایسوس - Core i7-1165G7 MX350 24GB 1TB, VivoBook 15 K513EQ,ASUS,15.6 اینچ,1080×1920 - FHD,اینتل Core i7-1165G7,24 گیگابایت,DDR4,1 ترابایت,SSD,انویدیا GeForce MX350,2 گیگابایت,17.9 × 235 × 359 میلی‌متر,1.8 کیلوگرم,6,باتری 3 سلولی لیتیوم یونی با ظرفیت 42 وات‌ساعت," 37,000,000 "
https://www.zoomit.ir/product/asus-rog-zephyrus-g15-ga503rw-ryzen-9-6800hs-rtx-3070-ti-16gb-1tb/,لپ تاپ ROG Zephyrus G15 GA503RW ایسوس - Ryzen 7 6800HS RTX 3070 Ti 16GB 1TB, ROG Zephyrus G15 GA503RW,ASUS,15.6 اینچ,QHD - 2560×1440,AMD Ryzen 7 6800HS,16 گیگابایت,DDR5-4800,1 ترابایت,SSD,انویدیا GeForce RTX 3070 Ti,16 گیگابایت از نوع GDDR6,19.9 × 243 × 355 میلی‌متر,1.9 کیلوگرم,7,باتری لیتیوم یونی با ظرفیت 90 وات‌ساعت," 68,699,000 "
https://www.zoomit.ir/product/asus-zephyrus-m16-gu604vi-core-i9-13900h-rtx-4070-32gb-1tb/,لپ تاپ Zephyrus M16 GU604VI ایسوس - Core i9-13900H RTX 4070 32GB 1TB, Zephyrus M16 GU604VI,ASUS,16 اینچ,QHD - 2560×1600,اینتل Core i9-13900H,32 گیگابایت,DDR5,1 ترابایت,SSD,انویدیا GeForce RTX 4070,8 گیگابایت از نوع GDDR6,19.9 × 246 × 355 میلی‌متر,2.1 کیلوگرم,7,باتری 4 سلولی با ظرفیت 90 وات‌ساعت," 108,898,000 "
https://www.zoomit.ir/product/asus-vivobook-16x-m1603qa-ryzen-5-5600h-vega-7-16gb-512gb/,لپ تاپ VivoBook 16X M1603QA ایسوس - Ryzen 5 5600H Vega 7 16GB 512GB, VivoBook 16X M1603QA,ASUS,16 اینچ,1200×1920 - WUXGA,AMD Ryzen 5 5600H,16 گیگابایت,DDR4,512 گیگابایت,SSD,,,19.9 × 247.7 × 358.4 میلی‌متر,1.88 کیلوگرم,7,باتری 3 سلولی با ظرفیت 50 وات‌ساعت," 28,000,000 "
https://www.zoomit.ir/product/asus-tuf-gaming-f15-fx506hcb-core-i5-11400h-rtx-3050-16gb-1tb/,لپ تاپ TUF Gaming F15 FX506HCB ایسوس - Core i5-11400H RTX 3050 16GB 1TB, TUF Gaming F15 FX506HCB,ASUS,15.6 اینچ,1080×1920 - FHD,اینتل Core i5-11400H,16 گیگابایت,DDR4,1 ترابایت,SSD,انویدیا GeForce RTX 3050,4 گیگابایت از نوع GDDR6,24.9 × 256 × 359 میلی‌متر,2.3 کیلوگرم,7,باتری 3 سلولی با ظرفیت 48 وات‌ساعت," 43,500,000 "
https://www.zoomit.ir/product/lenovo-ideapad-5-core-i5-1135g7-mx450-8gb-512gb/,لپ تاپ IdeaPad 5 لنوو - Core i5-1135G7 MX450 8GB 512GB,,,15.6 اینچ,1080×1920 - FHD,اینتل Core i5-1135G7,8 گیگابایت,DDR4-3200,512 گیگابایت,SSD,انویدیا GeForce MX450,2 گیگابایت از نوع GDDR6 و 64 بیت,19.9 × 233.1 × 356.6 میلی‌متر,1.66 کیلوگرم,8,باتری 3 سلولی با ظرفیت 57 وات‌ساعت," 26,299,000 "
https://www.zoomit.ir/product/asus-rog-strix-g15-g513rm-ryzen-9-6900hx-rtx-3060-16gb-1tb/,لپ تاپ ROG Strix G15 G513RM ایسوس - Ryzen 9 6900HX RTX 3060 16GB 1TB, ROG Strix G15 G513RM,ASUS,15.6 اینچ,1080×1920 - FHD,AMD Ryzen 7 6800H,16 گیگابایت,DDR4,1 ترابایت,SSD,انویدیا GeForce RTX 3060,6 گیگابایت از نوع GDDR6 و 128 بیت,22.6 × 259 × 354 میلی‌متر,2.3 کیلوگرم,9,باتری 4 سلولی با ظرفیت 90 وات‌ساعت," 65,799,000 "
https://www.zoomit.ir/product/lenovo-ideapad-3-celeron-n4020-uhd-600-4gb-1tb-fhd/,لپ تاپ IdeaPad 3 لنوو - Celeron N4020 UHD 600 4GB 1TB FHD,,,15.6 اینچ,1080×1920 - FHD,اینتل Celeron N4020,4 گیگابایت,DDR4,1 ترابایت,HDD,,,19.9 × 253.4 × 362.2 میلی‌متر,1.7 کیلوگرم,7,باتری 2 سلولی با ظرفیت 35 وات‌ساعت," 12,300,000 "
https://www.zoomit.ir/product/hp-victus-16-d0019-core-i7-11800h-rtx-3050ti-16gb-1tb/,لپ تاپ Victus 16-D0019 اچ پی - Core i7-11800H RTX 3050Ti 16GB 1TB, Victus 16-D0019,HP,16.1 اینچ,1080×1920 - FHD,اینتل Core i7-11800H,16 گیگابایت,DDR4,1 ترابایت,SSD,انویدیا GeForce RTX 3050 Ti,4 گیگابایت از نوع GDDR6,23 × 259 × 370 میلی‌متر,2.4 کیلوگرم,7,باتری 4 سلولی با ظرفیت 66 وات‌ساعت," 49,000,000 "
